1940,1496,2034,1496,2034,1510,1940,1510
2016,1496,2032,1496,2032,1508,2016,1508
1978,1482,2024,1482,2024,1496,1978,1496
1836,1472,1902,1472,1902,1490,1836,1490
1640,1470,1838,1470,1838,1490,1640,1490
1942,1410,2030,1410,2030,1424,1942,1424
1952,1400,1968,1400,1968,1410,1952,1410
1978,1396,2026,1396,2026,1410,1978,1410
1640,1384,1902,1384,1902,1404,1640,1404
1502,1144,1522,1144,1522,1308,1502,1308
1466,1132,1476,1132,1476,1148,1466,1148
1110,1134,1174,1134,1174,1148,1110,1148
1426,1128,1462,1128,1462,1146,1426,1146
1304,1126,1338,1126,1338,1144,1304,1144
1500,1070,1520,1070,1520,1136,1500,1136
1142,1108,1207,1116,1205,1133,1140,1126
1226,1112,1252,1112,1252,1128,1226,1128
1116,1060,1154,1060,1154,1120,1116,1120
1330,1096,1346,1096,1346,1116,1330,1116
1366,1088,1420,1088,1420,1100,1366,1100
1326,1022,1345,1021,1348,1081,1328,1082
1134,998,1152,998,1152,1056,1134,1056
392,859,406,860,406,1051,392,1051
1082,996,1100,996,1100,1034,1082,1034
1190,994,1208,994,1208,1034,1190,1034
1226,982,1244,982,1244,1022,1226,1022
1326,1008,1372,1008,1372,1020,1326,1020
1136,980,1152,980,1152,996,1136,996
1082,964,1100,964,1100,994,1082,994
1190,966,1206,966,1206,992,1190,992
638,746,658,746,658,990,638,990
1226,950,1244,950,1244,980,1226,980
1154,884,1226,884,1226,906,1154,906
1047,884,1147,884,1147,906,1047,906
1130,854,1260,854,1260,878,1130,878
1062,854,1118,854,1118,876,1062,876
1010,854,1060,854,1060,876,1010,876
1086,824,1130,824,1130,848,1086,848
1136,824,1206,824,1206,846,1136,846
1068,824,1084,824,1084,844,1068,844
1320,774,1338,774,1338,814,1320,814
1090,788,1184,788,1184,814,1090,814
948,758,966,758,966,796,948,796
1320,742,1338,742,1338,774,1320,774
1274,728,1292,728,1292,766,1274,766
948,724,966,724,966,756,948,756
1004,640,1026,640,1026,734,1004,734
1276,694,1292,694,1292,726,1276,726
1244,672,1262,672,1262,722,1244,722
1198,612,1218,612,1218,708,1198,708
1032,642,1050,642,1050,688,1032,688
1130,620,1148,620,1148,666,1130,666
1244,630,1262,630,1262,652,1244,652
1032,618,1050,618,1050,640,1032,640
1128,592,1148,592,1148,618,1128,618
1018,534,1032,534,1032,588,1018,588
1164,514,1198,514,1198,582,1164,582
1074,514,1092,514,1092,580,1074,580
1126,534,1144,534,1144,578,1126,578
1228,548,1288,548,1288,562,1228,562
1002,514,1016,514,1016,558,1002,558
1126,512,1144,512,1144,532,1126,532
1034,490,1050,490,1050,528,1034,528
1272,488,1314,488,1314,506,1272,506
1066,494,1126,494,1126,506,1066,506
1130,474,1142,474,1142,486,1130,486
1266,440,1332,440,1332,456,1266,456
1126,392,1146,392,1146,452,1126,452
1344,398,1524,398,1524,418,1344,418
1566,396,1656,396,1656,410,1566,410
1602,382,1632,382,1632,394,1602,394
1122,372,1182,372,1182,386,1122,386
1744,220,1768,220,1768,234,1744,234
1954,214,2004,214,2004,226,1954,226
146,196,202,196,202,218,146,218
1806,182,2046,182,2046,204,1806,204
292,176,330,176,330,192,292,192
128,178,292,178,292,192,128,192
798,126,832,126,832,140,798,140
412,120,440,120,440,132,412,132
370,120,394,120,394,132,370,132
444,120,486,120,486,132,444,132
852,98,938,98,938,116,852,116
340,88,606,88,606,108,340,108
1344,14,1430,14,1430,36,1344,36
