1106,1462,1282,1462,1282,1508,1106,1508
732,1460,1076,1460,1076,1508,732,1508
516,1462,700,1462,700,1506,516,1506
732,1462,766,1462,766,1506,732,1506
672,1464,698,1464,698,1504,672,1504
1488,1490,1504,1490,1504,1502,1488,1502
1842,1484,1934,1484,1934,1498,1842,1498
1878,1470,1926,1470,1926,1482,1878,1482
1852,1472,1868,1472,1868,1480,1852,1480
1540,1458,1576,1458,1576,1476,1540,1476
1574,1458,1804,1458,1804,1476,1574,1476
1464,1450,1528,1450,1528,1464,1464,1464
362,1402,444,1402,444,1426,362,1426
1486,1402,1504,1402,1504,1418,1486,1418
1834,1396,1922,1396,1922,1410,1834,1410
448,1382,488,1382,488,1406,448,1406
500,1382,554,1382,554,1404,500,1404
298,1394,354,1394,354,1404,298,1404
486,1388,496,1388,496,1402,486,1402
1572,1370,1696,1370,1696,1390,1572,1390
1746,1370,1792,1370,1792,1388,1746,1388
1542,1370,1570,1370,1570,1388,1542,1388
1704,1370,1744,1370,1744,1388,1704,1388
1470,1364,1524,1364,1524,1378,1470,1378
754,1354,1178,1354,1178,1374,754,1374
448,1344,542,1344,542,1366,448,1366
1206,1314,1256,1314,1256,1328,1206,1328
946,1306,1002,1306,1002,1326,946,1326
490,1307,540,1309,539,1324,489,1321
510,1289,550,1291,549,1306,509,1303
460,1286,500,1286,500,1304,460,1304
942,1262,1008,1262,1008,1276,942,1276
1306,1260,1318,1260,1318,1276,1306,1276
1266,1256,1304,1256,1304,1274,1266,1274
328,1258,384,1258,384,1270,328,1270
986,1222,1038,1222,1038,1256,986,1256
346,1248,362,1248,362,1256,346,1256
324,1234,384,1234,384,1244,324,1244
1034,1222,1098,1222,1098,1242,1034,1242
942,1186,960,1186,960,1242,942,1242
1238,1216,1272,1216,1272,1228,1238,1228
390,1214,448,1214,448,1226,390,1226
557,1205,651,1205,651,1223,557,1223
958,1126,976,1126,976,1174,958,1174
900,1122,916,1122,916,1160,900,1160
1016,1120,1034,1120,1034,1158,1016,1158
454,1136,476,1136,476,1148,454,1148
352,1130,370,1130,370,1144,352,1144
318,1130,354,1130,354,1144,318,1144
1056,1106,1074,1106,1074,1144,1056,1144
316,1110,454,1110,454,1126,316,1126
288,1108,308,1108,308,1124,288,1124
452,1110,480,1110,480,1124,452,1124
962,1110,976,1110,976,1124,962,1124
900,1090,916,1090,916,1118,900,1118
1016,1090,1034,1090,1034,1116,1016,1116
1056,1072,1074,1072,1074,1102,1056,1102
102,1050,118,1050,118,1070,102,1070
902,1040,984,1040,984,1064,902,1064
104,878,118,878,118,1044,104,1044
854,1000,974,1000,974,1022,854,1022
980,1000,1052,1000,1052,1022,980,1022
946,968,1076,968,1076,992,946,992
878,970,934,970,934,990,878,990
826,968,874,968,874,990,826,990
902,940,946,940,946,964,902,964
952,940,1022,940,1022,960,952,960
884,940,900,940,900,960,884,960
520,926,540,926,540,948,520,948
1144,900,1162,900,1162,940,1144,940
774,892,792,892,792,930,774,930
906,902,1000,902,1000,928,906,928
520,686,540,686,540,914,520,914
1102,868,1120,868,1120,908,1102,908
1014,848,1032,848,1032,906,1014,906
1058,850,1076,850,1076,904,1058,904
1144,868,1162,868,1162,900,1144,900
776,858,792,858,792,890,776,890
1102,800,1122,800,1122,868,1102,868
1344,672,1356,672,1356,856,1344,856
1056,778,1074,778,1074,840,1056,840
1016,732,1036,732,1036,826,1016,826
856,772,876,772,876,818,856,818
942,750,960,750,960,798,942,798
1106,776,1120,776,1120,798,1106,798
716,764,786,764,786,784,716,784
790,764,810,764,810,782,790,782
1056,752,1074,752,1074,776,1056,776
856,746,874,746,874,770,856,770
940,720,960,720,960,766,940,766
524,754,540,754,540,766,524,766
1344,734,1356,734,1356,762,1344,762
842,694,858,694,858,754,842,754
522,688,540,688,540,754,522,754
800,704,814,704,814,750,800,750
860,680,876,680,876,734,860,734
1344,708,1356,708,1356,730,1344,730
1148,708,1204,708,1204,722,1148,722
994,672,1012,672,1012,710,994,710
886,668,906,668,906,706,886,706
1344,596,1356,596,1356,704,1344,704
924,672,950,672,950,704,924,704
1028,634,1042,634,1042,686,1028,686
1066,626,1084,626,1084,684,1066,684
960,628,986,628,986,678,960,678
886,642,904,642,904,666,886,666
564,630,638,630,638,652,564,652
1024,572,1042,572,1042,628,1024,628
1070,564,1084,564,1084,618,1070,618
2092,556,2332,556,2332,576,2092,576
2092,556,2110,556,2110,576,2092,576
370,558,412,558,412,572,370,572
700,540,744,540,744,554,700,554
660,540,696,540,696,552,660,552
267,531,523,531,523,551,267,551
800,534,814,534,814,544,800,544
840,518,856,518,856,542,840,542
840,446,856,446,856,506,840,506
712,458,752,458,752,472,712,472
348,458,412,458,412,468,348,468
378,446,418,446,418,456,378,456
356,448,370,448,370,454,356,454
306,420,534,420,534,442,306,442
274,424,308,424,308,440,274,440
704,408,766,408,766,422,704,422
750,408,770,408,770,422,750,422
344,390,386,390,386,404,344,404
580,384,628,384,628,396,580,396
299,373,427,373,427,391,299,391
310,354,538,354,538,374,310,374
270,358,302,358,302,372,270,372
824,346,876,346,876,360,824,360
706,314,726,314,726,326,706,326
284,306,322,306,322,320,284,320
362,305,394,308,393,320,361,318
730,286,766,286,766,300,730,300
768,286,812,286,812,300,768,300
265,271,533,271,533,291,265,291
1374,259,1613,259,1613,279,1374,279
1408,260,1434,260,1434,278,1408,278
1374,260,1410,260,1410,278,1374,278
248,40,284,40,284,54,248,54
82,38,248,38,248,54,82,54
